source,triad,mutation_pass,full_pass,false_accept,T,C_dev,quadrant
b1_way1,gm_w2_sb04,True,False,True,0.0,1.0,Q3_FRAGILE
b1_way1,gm_w2_sb05,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_seq01,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,gm_w2_seq02,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,gm_w2_seq04,True,True,False,1.0,1.0,Q1_SURVIVOR
b1_way1,gm_w2_seq05,False,False,False,0.0,0.0,RUNTIME_CRASH
b1_way1,qw_v01,False,False,False,0.0,0.0,COMPILE_FAIL
b1_way1,qw_v02,False,False,False,0.0,0.0,COMPILE_FAIL
b1_way1,qw_v03,False,False,False,0.0,0.0,COMPILE_FAIL
b1_way1,qw_v04,False,False,False,0.0,0.0,COMPILE_FAIL
b1_way1,qw_v05,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_gm_v03,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_gm_v05,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_km_v01,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_v02,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_v03,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_v05,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_km_w2_drv02,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_drv03,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_drv05,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_sb02,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_sb03,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_sb04,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_sb05,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_km_w2_seq02,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_seq03,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_km_w2_seq04,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_km_w2_seq05,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_v01,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_v02,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_v03,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_pp_v04,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_pp_v05,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_pp_w2_drv02,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_drv03,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_drv04,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_drv05,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_sb02,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_sb03,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_sb04,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_pp_w2_sb05,False,False,False,0.0,0.0,COMPILE_FAIL
b2_way1,b2_pp_w2_seq02,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_seq03,True,False,True,0.0,1.0,Q3_FRAGILE
b2_way1,b2_pp_w2_seq04,False,False,False,0.0,0.0,RUNTIME_CRASH
b2_way1,b2_pp_w2_seq05,True,False,True,0.0,1.0,Q3_FRAGILE
stage6,?,True,True,False,1.0,1.0,Q1_SURVIVOR
stage6,?,True,True,False,1.0,1.0,Q1_SURVIVOR
stage6,?,True,True,False,1.0,1.0,Q1_SURVIVOR
stage6,?,True,True,False,1.0,1.0,Q1_SURVIVOR
stage6,?,True,True,False,1.0,1.0,Q1_SURVIVOR
stage6,?,True,True,False,1.0,1.0,Q1_SURVIVOR
